job_title,job_url,job_id,location,role_type,salary,description,keyword,level
Lead Functional Consultant - D 365,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/1072/?keyword=Microsoft+Dynamics&mode=location,1072,"Hyderabad, Telangana, India (Hybrid)",Delivery,NA - NA,"Job Identification
1072 | Job Category
Delivery | Posting Date
06/24/2025, 01:21 PM | Locations
Hyderabad, Telangana, India
(Hybrid) | Minimum Salary
NA | Maximum Salary
NA",Microsoft Dynamics,N/A
D365 F&SCM Finance Senior Consultant,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/858/?keyword=Microsoft+Dynamics&mode=location,858,Mexico (Remote),Delivery,N/A,"Proven ability to participate in multiple concurrent consulting engagements, providing guidance and input as required to ensure progress and achieve the project objectives. | General understanding in GAAP (Generally Accepted Accounting Principles) | Proven ability to lead junior consultants and client SME teams. | Experience implementing additional Finance modules, including: Accounts Receivable, Accounts Payable, General Ledger, Budgeting, Cost accounting, Cost management and Fixed Assets, and Asset Management. | General understanding of both Waterfall and Agile methodologies | Excellent interpersonal and communication skills | Excellent organization skills, with strong attention to detail | Highly motivated, self-starter with the ability to take ownership of tasks and activities. | Ability to travel up to 50%",Microsoft Dynamics,N/A
D365 F&SC Client Services - SCM - Senior Consultant,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/670/?keyword=Microsoft+Dynamics&mode=location,670,Mexico (Remote),Client Services,N/A,"5+ years of experience working in Microsoft Dynamics 365 Finance and Supply Chain management and Microsoft Dynamics AX 2012 working in an implementation team, managed services team, or combination, performing functional analysist, troubleshooting, solution recommendation and best practices guidance | Working knowledge and expertise in Warehouse and Production management, and related business processes | Microsoft Certification: Dynamics 365 Supply Chain Management Functional Consultant Associate (MB-330 post Feb 2024, or MB-330 plus MB-300 pre-Feb 2024) | Bachelor’s degree in information systems management, Computer Science, or related experience | Proven ability to work with, and contribute to, a virtual team of functional/technical consultants working from different locations across multiple timezones | Ability to work with technical resources to appropriately estimate enhancement efforts for client modification requests, ensure appropriate approvals are in place for system or solution changes, and when approved, drive the solutions to completion. | Strong analytical and problem-solving skills. | Strong interpersonal and communication skills | Highly motivated, self-starter with the ability to take ownership of tasks and activities and drive them to completion | Effective multitasker who can work on a variety of issues at the same time",Microsoft Dynamics,N/A
Senior D365F&SCM Technical Consultant - Client Services,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/989/?keyword=Microsoft+Dynamics&mode=location,989,Canada (Remote),Client Services,93000 - 145000,Keep tickets updated and adhere to SLAs | Follow defined processes and procedures | Maintain accurate timesheets and submit as per defined policies,Microsoft Dynamics,N/A
D365 F&SCM - Presales Engineer,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/792/?keyword=Microsoft+Dynamics&mode=location,792,"United States, Canada (Remote)",Sales,"118,000 - 190,000","Solution Design: Collaborate with sales teams to understand client needs and design tailored Dynamics 365 Finance and Supply Chain Management solutions. | Pre-sales Support: Provide technical expertise and support during the pre-sales process, including product demonstrations, proof of concepts, and responding to RFPs/RFIs. | Client Engagement: Engage with clients to gather requirements, present solutions, and articulate the value proposition of Dynamics 365 solutions. | Technical Leadership: Lead workshops and discovery sessions to gather and document client requirements, translating them into effective solution designs. | Collaboration: Work closely with the implementation team to ensure a smooth transition from pre-sales to project delivery. | Market Insights: Stay updated on the latest trends and developments in Dynamics 365 and related technologies and provide insights to clients and internal teams. | Documentation: Prepare detailed solution proposals, technical documentation, and presentations to effectively communicate solution designs to clients and stakeholders. | Training and Enablement: Provide training and enablement to sales teams and clients on Dynamics 365 Finance and Supply Chain Management capabilities and best practices.",Microsoft Dynamics,N/A
Senior D365F&SCM Functional Consultant (SCM) - Client Services,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/952/?keyword=Microsoft+Dynamics&mode=location,952,Canada (Remote),Client Services,90000 - 145000,"5+ years of experience working in D365 F&SCM Supply Chain module working in an implementation team, managed services team, or combination, performing functional analysist, troubleshooting, solution recommendation and best practices guidance | Expertise in Supply Chain, WMS and Production | Proven ability to work with, and contribute to, a virtual team of functional/technical consultants working from different locations across multiple timezones | Ability to work with technical resources to appropriately estimate enhancement efforts for client modification requests, ensure appropriate approvals are in place for system or solution changes, and when approved, drive the solutions to completion. | Strong analytical and problem-solving skills. | Strong interpersonal and communication skills | Highly motivated, self-starter with the ability to take ownership of tasks and activities and drive them to completion | Effective multitasker who can work on a variety of issues at the same time | Microsoft Certification: Dynamics 365 Supply Chain Management Functional Consultant Associate (MB-330 post Feb 2024, or MB-330 plus MB-300 pre-Feb 2024) | Bachelor’s degree in information systems management, Computer Science, or related experience",Microsoft Dynamics,N/A
Technical Architect-Azure AI,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/981/?keyword=Microsoft+Dynamics&mode=location,981,"Hyderabad, Telangana, India (Hybrid)",Delivery,N/A,"Act as the AI subject matter expert in client conversations, workshops, and solution envisioning sessions. | Support proposal development, architecture documentation, and effort estimation for AI projects. | Translate complex business needs into high-level and detailed technical architecture diagrams and blueprints.",Microsoft Dynamics,N/A
Associate Technical Consultant - Client Services Power BI Developer,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/969/?keyword=Microsoft+Dynamics&mode=location,969,"Hyderabad, Telangana, India (Hybrid)",Client Services,NA - NA,"5+ years of experience with Azure SQL DB and SQL Server / T-SQL | 3+ years of experience developing reporting solutions using Power BI | Power BI Data Analyst Associate Certified (PL-300) | Candidate should be familiar with developing analytics and reporting solutions in support of Demand Planning and Supply Chain business processes. | Experience in developing reporting solutions utilizing star schema and Azure Data Lake. | Experience in gathering data and reporting requirements directly from business stakeholders. | Experience with Git version control and Azure Dev Ops | Familiarity with security configuration and security policies within Azure, Power BI, and SQL Server",Microsoft Dynamics,N/A
SAP MM/WM Lead Consultant - Public Cloud,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/833/?keyword=Microsoft+Dynamics&mode=location,833,United States (Remote),Delivery,"102,963 - 170,000","Lead the design, development, and implementation of SAP MM/WM solutions in public cloud environments (e.g., SAP S/4HANA Cloud, SAP Cloud Platform, AWS, Microsoft Azure). | Oversee the integration of SAP MM/WM with other SAP modules (SD, FICO, etc.) and third-party systems in a cloud environment, ensuring seamless data flow and process optimization. | Ensure solutions are scalable, flexible, and aligned with business processes, enhancing operational efficiency and inventory management capabilities.",Microsoft Dynamics,N/A
Senior Technical Consultant - Oracle CPQ,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/265/?keyword=Microsoft+Dynamics&mode=location,265,"Hyderabad, Telangana, India (Hybrid)",Delivery,N/A,"Minimum 5+years’ experience as a team member of 2 or more successful software project implementations related to Oracle CPQ Cloud (BigMachines) | Must have technical hands-on development activities related to Configuration, Commerce, Document Designer, Workflow Approvals, Email Templates, Steps, BML, Commerce and Configuration Layout Design | Must have hands-on with CPQ Administrative activities like Environment Setup, Data Table Management, File Manager, User and Group Management, Parts creation, Code Migration, Cascading Stylesheets (CSS) | Proven ability to work independently and as a team member to perform hands-on development tasks, prototyping, proof-of-concepts, technical design on a scalable solution as required in support of current and new Oracle CPQ (BigMachines) Cloud projects | Experience with integrating CPQ to third party systems using SOAP/REST API’s | Expertise in troubleshooting/debugging issues and identifying/documenting the Root Cause Analysis (RCA) | Experience in raising Technical service requests with Oracle and taking the issue to closure | Adhere to best practices constantly around code/data source control, ticket tracking, etc. during the course of an assignment | Coordinate with onshore/offshore teams alike, manage personal task assignments, and take ownership of assigned deliverables | Conduct code reviews with Technical Leads to ensure developed code meets customers’ business requirements | Document design, code consistently throughout the design/development process | Prepare and deliver demonstrations/presentations to client audiences, professional seniors/peers | Must have strong communication skills and should be able to communicate effectively with offshore/onshore team members client | Should be open to learn other CPQ tools and apply domain expertise to other CPQ implementations as needed | Must be self-motivated to self-study and attain specialization certifications as needed",Microsoft Dynamics,N/A
Technical Consultant - Oracle CPQ,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/740/?keyword=Microsoft+Dynamics&mode=location,740,"Hyderabad, Telangana, India (Hybrid)",Delivery,N/A,"Job Identification
740 | Job Category
Delivery | Posting Date
02/18/2025, 07:17 AM | Locations
Hyderabad, Telangana, India
(Hybrid) | Minimum Salary
. | Maximum Salary
.",Microsoft Dynamics,N/A
Azure AI Engineer,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/925/?keyword=Microsoft+Dynamics&mode=location,925,"United States, Canada (Remote)",Sales,N/A,"Designing dynamic UIs for chatbots, assistants and visualizations. | Applied experience in translating business requirements into full stack Azure AI Solutions combination of Azure AI Services (previously Azure Cognitive Services and Applied AI Services), Azure AI Search, Azure OpenAI, Azure Cosmos DB, Copilot Studio as well as RAG, NLU, CLU, Vision AI for Agentic Architecture. | Design multi-step prompt workflows, leverage RAG patterns to integrate LLMs with enterprise data, design intelligent agents that are task-based and/or role-based by using responsible AI principles.",Microsoft Dynamics,N/A
Senior Manager - Compliance & People Relations,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/840/?keyword=Microsoft+Dynamics&mode=location,840,"Hyderabad, Telangana, India (Hybrid)",People,NA - NA,"Responsible for annual statutory audits, including gathering all information needed from internal teams, preparing the audited financial statements and supporting footnotes, being the main liaison with our outside auditors, and ensuring the timely issuance of our audits. | Manage the annual tax return process and working with our outside tax consultant to ensure timely and accurate filing of all required India tax filings. | Responsible for all monthly and quarterly GST tax workings and filings | Coordinate with third party tax team on annual transfer pricing study and ensure accurate and timely issuance of our annual study. | Lead any compliance audits initiated by any competent authority and work with other senior leaders in Finance where required to get the responses out for such audits. | Team with others within Argano to help manage the merger process of our two India-based legal entities into one.",Microsoft Dynamics,N/A
Senior Accounting & Finance Analyst,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/1055/?keyword=Microsoft+Dynamics&mode=location,1055,"Hyderabad, Telangana, India (Hybrid)",Finance and Accounting,NA - NA,"Assist in the development of financial integration plans in collaboration with Corporate Development, Finance, and Operations. | Help align acquired entity’s financial systems, processes, and reporting with company standards. | Track and report integration budgets, expenses, and financial milestones.",Microsoft Dynamics,N/A
Technical Consultant - Client Services,https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/950/?keyword=Microsoft+Dynamics&mode=location,950,"Hyderabad, Telangana, India (Hybrid)",Client Services,N/A,"Minimum 5+ years' experience as a team member of 2 or more successful software project implementations related to Oracle CPQ Cloud (BigMachines) | Must have technical hands-on development activities related to Configuration, Commerce, Document Designer, Workflow Approvals, Email Templates, Steps, BML, Commerce and Configuration Layout Design | Must have hands-on with CPQ Administrative activities like Data Table Management, File Manager, User and Group Management, Parts creation, Code Migration, Cascading Stylesheets (CSS) | Proven ability to work independently and as a team member to perform hands-on development tasks, prototyping, proof-of-concepts, technical design on a scalable solution as required in support of current and new Oracle CPQ (BigMachines) Cloud projects | Experience with integrating CPQ to third party systems using SOAP/REST API's | Expertise in troubleshooting/debugging issues and identifying/documenting the Root Cause Analysis (RCA) and estimation | Experience in raising Technical service requests with Oracle and taking the issue to closure | Adhere to best practices constantly around code/data source control, ticket tracking, etc. during the course of an assignment | Coordinate with onshore/offshore teams alike, manage personal task assignments, and take ownership of assigned deliverables | Co-ordinate with in-house development team/SME’s for review/guidance if required to provide a sustainable solution | Conduct code reviews with Technical Leads/Development team to ensure developed code meets customers' business requirements | Document design, code consistently throughout the design/development process | Prepare and deliver demonstrations/presentations to client audiences, professional seniors/peers | Must have strong communication skills and should be able to communicate effectively with offshore/onshore team members and clients directly",Microsoft Dynamics,N/A
"Senior Client Executive, Dynamics365 - Manufacturing",https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/1094/?keyword=Power+Platform&mode=location,1094,United States (Remote),Sales,N/A,"Lead sales initiatives for Dynamics 365, Power Platform, CoPilot and Microsoft Data consulting services to Enterprise clients in the manufacturing sector. | Identify and pursue new business opportunities, leveraging Dynamics 365, Power Platform, CoPilot and Microsoft Data Platforms to meet the unique needs of the manufacturing clients. | Cultivate and maintain strategic client relationships, ensuring alignment with Dynamics 365, Power Platform, CoPilot and Microsoft Data solutions and client objectives. | Develop and execute strategic sales plans focused on Dynamics 365, Power Platform, CoPilot and Microsoft Data Platforms services, driving revenue growth. | Provide leadership and mentorship to sales team members, particularly in Dynamics 365, Power Platform, CoPilot and Microsoft Data Platforms and Manufacturing Industry contexts. | Collaborate with internal teams to refine Dynamics 365, Power Platform, CoPilot and Microsoft Data Platforms service offerings based on market trends and client feedback. | Conduct market analysis to identify growth opportunities within the Dynamics 365, Power Platform, CoPilot and Microsoft Data Platforms ecosystem, specifically for manufacturing. | Achieve and exceed sales targets related to Dynamics 365, Power Platform, CoPilot and Microsoft Data Platforms consulting services. | Work with cross-functional teams to develop compelling proposals and presentations centered around Dynamics 365, Power Platform, CoPilot and Microsoft Data Platforms. | Identify, develop, and nurture relationships with Microsoft sales and technical teams within the manufacturing vertical.",Power Platform,N/A
"Senior Client Executive, Dynamics365 - Retail",https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/1095/?keyword=Power+Platform&mode=location,1095,United States (Remote),Sales,N/A,"Lead sales initiatives for Dynamics 365, Power Platform, CoPilot and Microsoft Data consulting services to Enterprise clients in the retail sector. | Identify and pursue new business opportunities, leveraging Dynamics 365, Power Platform, CoPilot and Microsoft Data Platforms to meet the unique needs of the retail clients. | Cultivate and maintain strategic client relationships, ensuring alignment with Dynamics 365, Power Platform, CoPilot and Microsoft Data solutions and client objectives. | Develop and execute strategic sales plans focused on Dynamics 365, Power Platform, CoPilot and Microsoft Data Platforms services, driving revenue growth. | Provide leadership and mentorship to sales team members, particularly in Dynamics 365, Power Platform, CoPilot and Microsoft Data Platforms and Retail Industry contexts. | Collaborate with internal teams to refine Dynamics 365, Power Platform, CoPilot and Microsoft Data Platforms service offerings based on market trends and client feedback. | Conduct market analysis to identify growth opportunities within the Dynamics 365, Power Platform, CoPilot and Microsoft Data Platforms ecosystem, specifically for retail. | Achieve and exceed sales targets related to Dynamics 365, Power Platform, CoPilot and Microsoft Data Platforms consulting services. | Work with cross-functional teams to develop compelling proposals and presentations centered around Dynamics 365, Power Platform, CoPilot and Microsoft Data Platforms. | Identify, develop, and nurture relationships with Microsoft sales and technical teams within the retail vertical.",Power Platform,N/A
"Vice President, Practice Leader - Microsoft Dynamics CRM",https://fa-eyau-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Argano-Careers/job/1101/?keyword=Power+Platform&mode=location,1101,United States (Remote),Delivery,N/A,"Define and execute a growth strategy for the Microsoft CX practice aligned to Argano’s GTM priorities. | Partner closely with Sales, Alliances, and Marketing to design industry-relevant offerings and drive new pipeline. | Support pursuit efforts by leading solution strategy and delivery approach | Engage with Microsoft field and partner teams to co-develop joint campaigns and deepen channel alignment.",Power Platform,N/A
